id,name,price,image_url
1,Grey office chair,4500,https://drive.google.com/uc?export=download&id=1e5mW-YV4fEn-aVHF_rEUF_qt1djex5aq
2,Wooden chair (single only),2750,https://drive.google.com/uc?export=download&id=1lI59LC2AKiPhk6ZjFWS945MzLBIi4NLy
3,Mid Back Ergonomic Office Chair Computer Study Chair Fabric Metal Base ,4200,https://drive.google.com/uc?export=download&id=1ixowl9-OKIP1wAhmKUVzcvoQF2DMWJ6A
4,Wooden single Dining chair,3650,https://drive.google.com/uc?export=download&id=17FMMO-A6TPm9MtfdQtIdCprrL4Y3PiVH
5,Wooden Chair: Students study chair,2400,https://drive.google.com/uc?export=download&id=1Wzp8AQhxJn-HdqKxZPizoinVK02JqqD3
6,Green office chair,3200,https://drive.google.com/uc?export=download&id=1NkzcFewnqNx4lU5sbY1YeG6wyveHk_cd
7,Blue office rolling chair,4100,https://drive.google.com/uc?export=download&id=1QjIOf-NEz7sknkufK7lVZyrTFfS1LKkR
8,cantilever chair(blue),3550,https://drive.google.com/uc?export=download&id=1BXXAQDGySeAtZF3Fx3RJuP7xW2u7asLY
9,wooden rocking chair,5500,https://drive.google.com/uc?export=download&id=1o1oTrAbUTJ8O3oKy3TO7g1SbOxJ10pw0
10,Wooden chair ,1900,https://drive.google.com/uc?export=download&id=1fi4guDvZpwy3VgRGqSSY3VOS8taEaYpY
11,Foldable wooden chair,3400,https://drive.google.com/uc?export=download&id=1ofWbB3kIW68hwtrP895V8tXF36_W_mff
12,Grey painted wooden chair,2980,https://drive.google.com/uc?export=download&id=1FkA2vSGdzunZr90WdHgfxDV_cKYx5Poa
13,black painted wooden chair,3000,https://drive.google.com/uc?export=download&id=1NHP0GG1GcGQMxuHx4ZD_DF-hflRzPgfw
14,Stylish wooden chair for living room,5000,https://drive.google.com/uc?export=download&id=1MCVAfLDFGH0m7h9qE_BpiAcUitPE2opA
15,wooden chair(home),2100,https://drive.google.com/uc?export=download&id=13DCz0eToOYB6OF95nWiVmbwddocy6-CC
16,Cushioned chair(red),4700,https://drive.google.com/uc?export=download&id=1z3I2pHHg6yRuJL14wDqJPWFNHS2Gv2E6
17,Plastic chair,650,https://drive.google.com/uc?export=download&id=1vmtEMuTjKa2zz9KouZVszYRRvCLfH8vn
18,Red cushioned armless chair,1300,https://drive.google.com/uc?export=download&id=1Mbj71dXBxgWG5DUdCaHK7YgmepZRiIZE
19,Exotic Wooden chair,2325,https://drive.google.com/uc?export=download&id=1w14hVqCLujSsM3X4aM-i-f7ZEJCsw3zG
20,Designer blue cushioned chair,2880,https://drive.google.com/uc?export=download&id=1-NdPo4LCaMJMREFI-QXLidVSFyqmYTxQ
21,Plastic cushioned chair for home,1875,https://drive.google.com/uc?export=download&id=1ubSewn6UrfxaUklWFtZT62YDsunKt0sP
22,Antique designer wooden chair,4780,https://drive.google.com/uc?export=download&id=1-sWUeVHq5vJE__zbxpbgspS4Ek5QYJl0
23,Raised Bar chair,2250,https://drive.google.com/uc?export=download&id=1YL93TD-QWOT4fgLD65mllXTxWYFUESNn
24,Plastic chair(white),525,https://drive.google.com/uc?export=download&id=1KBGmzrbMb1mW6zy85aFuK1-IkLmpmVoD
25,Office chair(black cushioned),3670,https://drive.google.com/uc?export=download&id=1fQ04pcuK7mryyP9Vsp_fixXhseuP8O51
26,Handmade wooden chair,3500,https://drive.google.com/uc?export=download&id=1dVQ676LEoow39DoYf4h7GScZy50z1_vG
27,wooden chair with white cushion,1500,https://drive.google.com/uc?export=download&id=1-nlsucGP7wBfUhwyvCSVTX9CbHAM-O2u
28,Garden chair(grey),2320,https://drive.google.com/uc?export=download&id=17rFoz9k9Kftrz0uPptPjSMCiqrGgmRSN
29,Indoor chairs for home,2360,https://drive.google.com/uc?export=download&id=1fnkxkhrxWCKpvrD75wFqZ1Lxozn4MgJd
30,Oversized plastic chair,750,https://drive.google.com/uc?export=download&id=1x7mctNaCM0mUMjdFSwdxb5CLdAEVcN3r
31,Office visitor chair,1845,https://drive.google.com/uc?export=download&id=1jeI2d-QBfhsY8rhZxDJ9ZUPyfrNGVcD0
32,Hand carved chair,4775,https://drive.google.com/uc?export=download&id=1C3-gV86vkRg8vpMKTNCswtxF8Pqe0ZAi
33,Modern chair for living room,8500,https://drive.google.com/uc?export=download&id=1hNQBYtfOpdqM7CbVbDVyD50kxR7lq_Go
34,Supreme Plastic chair ,500,https://drive.google.com/uc?export=download&id=1hnRNQebmdcErZxBnIT9JYyXvL6qx9qrf
