id,name,price,image_url
35,Home Centre Polyester Emily Fabric 2 Seater Sofa ,15000,https://drive.google.com/uc?export=download&id=16WHbbBed2sZX9dutIuy_x59lP7mqUOze
36,Dr Smith Three Seater Sofas for Living Room Furniture Sets,16500,https://drive.google.com/uc?export=download&id=1CljO50VYzwZPcIID0wr2jALFhAKENsyY
37,Mamta Furniture : 3 Seater Sofa Set with Beige Cushions (3 Seater Sofa Honey Finish),15500,https://drive.google.com/uc?export=download&id=1MoguNhzuTMDGqXoQBbgPmUGBTMNLAfDC
38,Dr Smith 3-seater blue couch ,10000,https://drive.google.com/uc?export=download&id=1ZnJ3Rch7iURwdYwfArFXt6T9g5ZSZT9b
39,Seventh Heaven 3 seater cremish couch ,12500,https://drive.google.com/uc?export=download&id=1edv1YsfLSDM10frmYmVV5Dq2i69Pj-UZ
40,Home Centre Polyester 3 seater sofa,17000,https://drive.google.com/uc?export=download&id=1W85YUB-hGog25rIbMZq2nxOVWNjNc93r
41,Mamta Furniture Wooden Solid Sheesham Wood 3 seater sofa,16250,https://drive.google.com/uc?export=download&id=1t0ibrcTovRnpPL_HMqXjI-WQQYraYqvO
42,Trendy Vibes beige 2 seater sofa for living room,11500,https://drive.google.com/uc?export=download&id=17T980YPAVv1lohiuZmzMWGFCC9kTd_TM
43,Dr Smith Three Seater Sofa Cum Bed for Home,18000,https://drive.google.com/uc?export=download&id=1mZvG7YShpr2YIRyUxqr25FEjCoUknuoi
44,Sleepyhead Kiki - 3 Seater Sofa,13500,https://drive.google.com/uc?export=download&id=1SwFIqZ9kmsY3LmAiCOul8OL9U51j8dHC
45,"Solimo Roasio 1 Seater Sofa (Fabric, Midnight Blue)",14000,https://drive.google.com/uc?export=download&id=1Uo_VKrsLR5-1KlwevZE5EM0hyUg7561K
46,Two seater sofa (brown),9500,https://drive.google.com/uc?export=download&id=1hC5rxoLQn3gsLtQvn-v8UTLKJTebXSUk
47,FreshUp Three Seater Sofa (white) with solid wood,15500,https://drive.google.com/uc?export=download&id=1D3s93UtgEd-_oS-4eiZke9OQlskl2mtb
48,"Sleepyhead SofaBed : F 2 Seater Sofa Cum Bed, (Fabric, Grey)",16000,https://drive.google.com/uc?export=download&id=192KzVe8JcHBmib8ywZfDfA1buDe7jfyM
49,Dark Blue Two Seater Sofa ,13250,https://drive.google.com/uc?export=download&id=1TXY0tGGxP-bHTmRFkLGZod37QdP-5r-l
50,Artistic Wood 3 seater Sofa (grey),15750,https://drive.google.com/uc?export=download&id=1ZjX5tKvPaxLMZvZNhbm3GFzYaA6viKXu
51,Dr Smith Wooden Two Seater AccentSofa for Living Room,12450,https://drive.google.com/uc?export=download&id=1Ml-U6FyaVa9ueHPN-ENP_Jv_mhVg3iPs
